# LMATLAB-SA-W7.5 (Up to date)
# 2999 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019079,-9.539703,0.019185,9.592251,-0.000002,0,0.000002,3.141593,0.002005,1.002663,0.575786,1.867068,9.791353,1.471771,0,0,0,31.67867,8.45895,27.433334,0.112466,NaN,1.779695,NaN,0.009502,533181.245315,4.60824,0.000128,0.525386,0.001208,0.445102,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455906,352.644442,0.002,0.001608
0.004,-0.000019,-0.018501,-9.25036,0.018603,9.301313,-0.000002,0,0.000002,3.141593,0.001945,0.972252,0.575786,1.867068,9.791353,1.471598,0,0,0,31.67862,8.458901,27.433289,0.112466,NaN,1.779694,NaN,0.009502,533190.406772,13.82472,0.000129,0.525384,0.001214,0.4451,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455904,352.644442,0.002,0.002086
0.006,-0.000018,-0.017922,-8.961016,0.018021,9.010375,-0.000002,0,0.000002,3.141593,0.001884,0.941841,0.575786,1.867068,9.791353,1.471425,0,0,0,31.678571,8.458851,27.433244,0.112466,NaN,1.779692,NaN,0.009502,533199.584179,23.0412,0.00013,0.525383,0.00122,0.445099,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455903,352.644442,0.002,0.002535
0.008,-0.000017,-0.017343,-8.671671,0.017439,8.719436,-0.000002,0,0.000002,3.141593,0.001823,0.911429,0.575786,1.867068,9.791353,1.471252,0,0,0,31.678521,8.458802,27.433199,0.112466,NaN,1.779691,NaN,0.009503,533208.777532,32.25768,0.00013,0.525381,0.001227,0.445097,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455902,352.644442,0.002,0.002999
0.01,-0.000017,-0.016765,-8.382324,0.016857,8.428497,-0.000002,0,0.000002,3.141593,0.001762,0.881018,0.575786,1.867068,9.791353,1.471079,0,0,0,31.678472,8.458752,27.433154,0.112466,NaN,1.779689,NaN,0.009503,533217.986833,41.47416,0.000131,0.525379,0.001233,0.445095,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455901,352.644442,0.002,0.003444
0.012,-0.000016,-0.016186,-8.092978,0.016275,8.137556,-0.000002,0,0.000002,3.141593,0.001701,0.850606,0.575786,1.867068,9.791353,1.470907,0,0,0,31.678422,8.458703,27.433109,0.112466,NaN,1.779688,NaN,0.009503,533227.212081,50.69064,0.000132,0.525378,0.001239,0.445094,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.4559,352.644442,0.002,0.003893
0.014,-0.000016,-0.015607,-7.80363,0.015693,7.846614,-0.000002,0,0.000002,3.141593,0.00164,0.820195,0.575786,1.867068,9.791353,1.470734,0,0,0,31.678373,8.458653,27.433064,0.112466,NaN,1.779686,NaN,0.009503,533236.453274,59.90712,0.000132,0.525376,0.001245,0.445092,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455899,352.644442,0.002,0.004337
0.016,-0.000015,-0.015029,-7.514281,0.015111,7.555672,-0.000002,0,0.000002,3.141593,0.00158,0.789783,0.575786,1.867068,9.791353,1.470561,0,0,0,31.678323,8.458604,27.433018,0.112466,NaN,1.779685,NaN,0.009503,533245.710412,69.1236,0.000133,0.525374,0.001252,0.445091,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455898,352.644442,0.002,0.004775
0.018,-0.000014,-0.01445,-7.224931,0.014529,7.264728,-0.000002,0,0.000002,3.141593,0.001519,0.759371,0.575786,1.867068,9.791353,1.470388,0,0,0,31.678274,8.458554,27.432973,0.112466,NaN,1.779684,NaN,0.009503,533254.983494,78.34008,0.000134,0.525373,0.001258,0.445089,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455897,352.644442,0.002,0.005243
0.02,-0.000014,-0.013871,-6.935581,0.013948,6.973784,-0.000001,0,0.000001,3.141593,0.001458,0.728959,0.575786,1.867068,9.791353,1.470216,0,0,0,31.678224,8.458505,27.432928,0.112466,NaN,1.779682,NaN,0.009504,533264.27252,87.55656,0.000134,0.525371,0.001264,0.445087,0.009843,0.070441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,3.3528,308.373667,85898.455895,352.644442,0.002,0.005682
